3088
0	ア
1	イ
2	ウ
3	エ
4	オ
5	カ
6	キ
7	ク
8	ケ
9	コ
10	サ
11	シ
12	ス
13	セ
14	ソ
15	タ
16	チ
17	ツ
18	テ
19	ト
20	ナ
21	ニ
22	ヌ
23	ネ
24	ノ
25	ハ
26	ヒ
27	フ
28	ヘ
29	ホ
30	マ
31	ミ
32	ム
33	メ
34	モ
35	ヤ
36	ユ
37	ヨ
38	ラ
39	リ
40	ル
41	レ
42	ロ
43	ワ
44	ィ
45	ェ
46	ヲ
47	ン
48	あ
49	愛
50	委
51	壱
52	雲
53	円
54	王
55	何
56	火
57	会
58	階
59	革
60	官
61	館
62	希
63	い
64	記
65	休
66	牛
67	共
68	曲
69	句
70	係
71	芸
72	券
73	険
74	古
75	語
76	口
77	港
78	う
79	合
80	査
81	菜
82	刷
83	蚕
84	始
85	死
86	資
87	治
88	質
89	弱
90	需
91	習
92	出
93	え
94	暑
95	小
96	章
97	状
98	深
99	図
100	政
101	製
102	責
103	舌
104	選
105	倉
106	増
107	属
108	お
109	多
110	隊
111	短
112	竹
113	貯
114	直
115	提
116	転
117	土
118	等
119	童
120	内
121	熱
122	馬
123	か
124	畑
125	番
126	美
127	評
128	布
129	福
130	平
131	弁
132	法
133	毎
134	名
135	目
136	輸
137	容
138	が
139	浴
140	略
141	緑
142	列
143	話
144	き
145	ゃ
146	悪
147	意
148	印
149	営
150	園
151	黄
152	価
153	花
154	解
155	貝
156	学
157	幹
158	岸
159	ぎ
160	旗
161	貴
162	宮
163	去
164	協
165	極
166	区
167	兄
168	欠
169	建
170	験
171	固
172	誤
173	向
174	く
175	皇
176	告
177	再
178	際
179	察
180	賛
181	姉
182	氏
183	歯
184	示
185	実
186	主
187	収
188	衆
189	ぐ
190	術
191	書
192	少
193	証
194	植
195	申
196	推
197	整
198	西
199	赤
200	先
201	銭
202	想
203	蔵
204	け
205	族
206	太
207	代
208	団
209	茶
210	丁
211	賃
212	程
213	点
214	党
215	答
216	道
217	南
218	年
219	げ
220	拝
221	八
222	否
223	鼻
224	病
225	府
226	複
227	陛
228	保
229	豊
230	末
231	命
232	問
233	勇
234	こ
235	曜
236	来
237	流
238	林
239	練
240	ご
241	圧
242	易
243	員
244	栄
245	延
246	億
247	加
248	荷
249	回
250	外
251	楽
252	感
253	眼
254	期
255	さ
256	起
257	急
258	居
259	境
260	玉
261	苦
262	型
263	決
264	憲
265	元
266	己
267	護
268	后
269	耕
270	ざ
271	国
272	最
273	在
274	殺
275	酸
276	子
277	私
278	事
279	耳
280	舎
281	取
282	周
283	週
284	述
285	し
286	ゅ
287	諸
288	承
289	象
290	織
291	真
292	水
293	星
294	誠
295	切
296	千
297	前
298	早
299	造
300	じ
301	続
302	打
303	台
304	断
305	着
306	帳
307	追
308	敵
309	伝
310	冬
311	統
312	銅
313	難
314	念
315	す
316	敗
317	発
318	悲
319	必
320	秒
321	父
322	仏
323	米
324	歩
325	暴
326	万
327	明
328	門
329	友
330	ず
331	様
332	落
333	留
334	臨
335	連
336	せ
337	安
338	異
339	因
340	永
341	演
342	屋
343	可
344	課
345	快
346	害
347	額
348	慣
349	岩
350	機
351	ぜ
352	技
353	救
354	挙
355	強
356	勤
357	具
358	形
359	潔
360	検
361	原
362	庫
363	交
364	孝
365	考
366	そ
367	穀
368	妻
369	材
370	雑
371	残
372	市
373	糸
374	似
375	自
376	写
377	守
378	宗
379	集
380	春
381	ぞ
382	助
383	招
384	賞
385	職
386	神
387	数
388	晴
389	青
390	接
391	宣
392	善
393	争
394	側
395	卒
396	た
397	体
398	大
399	男
400	中
401	張
402	通
403	的
404	田
405	刀
406	討
407	得
408	二
409	燃
410	配
411	だ
412	判
413	比
414	筆
415	品
416	負
417	物
418	別
419	補
420	望
421	満
422	盟
423	夜
424	有
425	ち
426	ょ
427	洋
428	利
429	旅
430	輪
431	路
432	ぢ
433	暗
434	移
435	引
436	泳
437	遠
438	恩
439	夏
440	貨
441	改
442	各
443	活
444	歓
445	顔
446	帰
447	つ
448	疑
449	求
450	許
451	教
452	均
453	空
454	敬
455	結
456	権
457	厳
458	戸
459	候
460	工
461	航
462	づ
463	黒
464	才
465	罪
466	三
467	仕
468	師
469	紙
470	児
471	辞
472	社
473	手
474	就
475	住
476	準
477	て
478	女
479	昭
480	上
481	色
482	臣
483	世
484	正
485	静
486	折
487	専
488	然
489	相
490	則
491	存
492	で
493	対
494	第
495	談
496	忠
497	朝
498	低
499	適
500	電
501	島
502	頭
503	徳
504	弐
505	納
506	倍
507	と
508	半
509	皮
510	百
511	貧
512	武
513	分
514	変
515	墓
516	貿
517	味
518	迷
519	野
520	由
521	用
522	ど
523	理
524	両
525	類
526	労
527	な
528	案
529	胃
530	飲
531	英
532	塩
533	温
534	家
535	過
536	械
537	拡
538	株
539	漢
540	願
541	気
542	に
543	っ
544	義
545	球
546	漁
547	橋
548	禁
549	君
550	景
551	血
552	犬
553	減
554	故
555	光
556	幸
557	ぬ
558	行
559	今
560	採
561	財
562	参
563	使
564	志
565	至
566	字
567	式
568	者
569	種
570	州
571	十
572	ね
573	純
574	序
575	消
576	乗
577	食
578	親
579	是
580	清
581	税
582	設
583	川
584	全
585	総
586	息
587	の
588	孫
589	帯
590	題
591	知
592	昼
593	町
594	停
595	鉄
596	徒
597	投
598	働
599	特
600	肉
601	能
602	は
603	買
604	反
605	肥
606	俵
607	不
608	部
609	奮
610	編
611	母
612	防
613	未
614	鳴
615	役
616	遊
617	ば
618	葉
619	里
620	料
621	令
622	老
623	ぱ
624	以
625	遺
626	院
627	衛
628	央
629	音
630	科
631	我
632	海
633	格
634	寒
635	管
636	喜
637	汽
638	ひ
639	議
640	究
641	魚
642	興
643	近
644	訓
645	系
646	月
647	研
648	現
649	湖
650	公
651	広
652	講
653	び
654	根
655	済
656	坂
657	山
658	司
659	思
660	視
661	寺
662	識
663	謝
664	酒
665	修
666	従
667	順
668	ぴ
669	除
670	焼
671	場
672	信
673	身
674	制
675	生
676	席
677	節
678	戦
679	祖
680	草
681	測
682	尊
683	ふ
684	待
685	達
686	地
687	柱
688	腸
689	定
690	典
691	登
692	東
693	動
694	毒
695	日
696	農
697	売
698	ぶ
699	板
700	費
701	標
702	付
703	風
704	粉
705	辺
706	包
707	北
708	脈
709	綿
710	約
711	夕
712	要
713	ぷ
714	陸
715	良
716	例
717	六
718	へ
719	位
720	医
721	右
722	液
723	往
724	下
725	果
726	画
727	界
728	確
729	刊
730	観
731	器
732	季
733	べ
734	客
735	級
736	京
737	鏡
738	金
739	群
740	経
741	件
742	絹
743	言
744	五
745	功
746	康
747	鉱
748	ぺ
749	混
750	災
751	作
752	散
753	史
754	指
755	詞
756	持
757	七
758	車
759	首
760	拾
761	重
762	処
763	ほ
764	勝
765	照
766	常
767	心
768	進
769	勢
770	精
771	石
772	説
