3088
ア	0
イ	1
ウ	2
エ	3
オ	4
カ	5
キ	6
ク	7
ケ	8
コ	9
サ	10
シ	11
ス	12
セ	13
ソ	14
タ	15
チ	16
ツ	17
テ	18
ト	19
ナ	20
ニ	21
ヌ	22
ネ	23
ノ	24
ハ	25
ヒ	26
フ	27
ヘ	28
ホ	29
マ	30
ミ	31
ム	32
メ	33
モ	34
ヤ	35
ユ	36
ヨ	37
ラ	38
リ	39
ル	40
レ	41
ロ	42
ワ	43
ィ	44
ェ	45
ヲ	46
ン	47
あ	48
愛	49
委	50
壱	51
雲	52
円	53
王	54
何	55
火	56
会	57
階	58
革	59
官	60
館	61
希	62
い	63
記	64
休	65
牛	66
共	67
曲	68
句	69
係	70
芸	71
券	72
険	73
古	74
語	75
口	76
港	77
う	78
合	79
査	80
菜	81
刷	82
蚕	83
始	84
死	85
資	86
治	87
質	88
弱	89
需	90
習	91
出	92
え	93
暑	94
小	95
章	96
状	97
深	98
図	99
政	100
製	101
責	102
舌	103
選	104
倉	105
増	106
属	107
お	108
多	109
隊	110
短	111
竹	112
貯	113
直	114
提	115
転	116
土	117
等	118
童	119
内	120
熱	121
馬	122
か	123
畑	124
番	125
美	126
評	127
布	128
福	129
平	130
弁	131
法	132
毎	133
名	134
目	135
輸	136
容	137
が	138
浴	139
略	140
緑	141
列	142
話	143
き	144
ゃ	145
悪	146
意	147
印	148
営	149
園	150
黄	151
価	152
花	153
解	154
貝	155
学	156
幹	157
岸	158
ぎ	159
旗	160
貴	161
宮	162
去	163
協	164
極	165
区	166
兄	167
欠	168
建	169
験	170
固	171
誤	172
向	173
く	174
皇	175
告	176
再	177
際	178
察	179
賛	180
姉	181
氏	182
歯	183
示	184
実	185
主	186
収	187
衆	188
ぐ	189
術	190
書	191
少	192
証	193
植	194
申	195
推	196
整	197
西	198
赤	199
先	200
銭	201
想	202
蔵	203
け	204
族	205
太	206
代	207
団	208
茶	209
丁	210
賃	211
程	212
点	213
党	214
答	215
道	216
南	217
年	218
げ	219
拝	220
八	221
否	222
鼻	223
病	224
府	225
複	226
陛	227
保	228
豊	229
末	230
命	231
問	232
勇	233
こ	234
曜	235
来	236
流	237
林	238
練	239
ご	240
圧	241
易	242
員	243
栄	244
延	245
億	246
加	247
荷	248
回	249
外	250
楽	251
感	252
眼	253
期	254
さ	255
起	256
急	257
居	258
境	259
玉	260
苦	261
型	262
決	263
憲	264
元	265
己	266
護	267
后	268
耕	269
ざ	270
国	271
最	272
在	273
殺	274
酸	275
子	276
私	277
事	278
耳	279
舎	280
取	281
周	282
週	283
述	284
し	285
ゅ	286
諸	287
承	288
象	289
織	290
真	291
水	292
星	293
誠	294
切	295
千	296
前	297
早	298
造	299
じ	300
続	301
打	302
台	303
断	304
着	305
帳	306
追	307
敵	308
伝	309
冬	310
統	311
銅	312
難	313
念	314
す	315
敗	316
発	317
悲	318
必	319
秒	320
父	321
仏	322
米	323
歩	324
暴	325
万	326
明	327
門	328
友	329
ず	330
様	331
落	332
留	333
臨	334
連	335
せ	336
安	337
異	338
因	339
永	340
演	341
屋	342
可	343
課	344
快	345
害	346
額	347
慣	348
岩	349
機	350
ぜ	351
技	352
救	353
挙	354
強	355
勤	356
具	357
形	358
潔	359
検	360
原	361
庫	362
交	363
孝	364
考	365
そ	366
穀	367
妻	368
材	369
雑	370
残	371
市	372
糸	373
似	374
自	375
写	376
守	377
宗	378
集	379
春	380
ぞ	381
助	382
招	383
賞	384
職	385
神	386
数	387
晴	388
青	389
接	390
宣	391
善	392
争	393
側	394
卒	395
た	396
体	397
大	398
男	399
中	400
張	401
通	402
的	403
田	404
刀	405
討	406
得	407
二	408
燃	409
配	410
だ	411
判	412
比	413
筆	414
品	415
負	416
物	417
別	418
補	419
望	420
満	421
盟	422
夜	423
有	424
ち	425
ょ	426
洋	427
利	428
旅	429
輪	430
路	431
ぢ	432
暗	433
移	434
引	435
泳	436
遠	437
恩	438
夏	439
貨	440
改	441
各	442
活	443
歓	444
顔	445
帰	446
つ	447
疑	448
求	449
許	450
教	451
均	452
空	453
敬	454
結	455
権	456
厳	457
戸	458
候	459
工	460
航	461
づ	462
黒	463
才	464
罪	465
三	466
仕	467
師	468
紙	469
児	470
辞	471
社	472
手	473
就	474
住	475
準	476
て	477
女	478
昭	479
上	480
色	481
臣	482
世	483
正	484
静	485
折	486
専	487
然	488
相	489
則	490
存	491
で	492
対	493
第	494
談	495
忠	496
朝	497
低	498
適	499
電	500
島	501
頭	502
